39	26	10	41	19	14	36	7	9	38	22														
25	7	17	19	27	33	12	6	22	34	32	29	28	14	11	8	39								
6	19	5	11	7	4	8	37	25	2	12	27	38	3	22	36	28	15	33						
21	20	1	28	3	18	8	12	34	17	27	7													
1	18	20	21	32	29	28	3	7																
15	13	38	19	6	33	2	37	14																
11	12	33	2	6	5	27	19	25	7	37	4													
8	27	37	25	17	19	39																		
3	28	1	20	18	33	13	6	37	14	5	21	7												
28	27	29	40	38	25	14	8	2	18	36	6	34	21	20	1									
20	1	18	30	13	21	28	3	32	37	5	4													
29	7	25	1	30	34	32																		
32	11	7	28	22	25	20	1	23	24	34														
27	22	36	33	14	28	38																		
36	12	13	33	7	26																			
9	38	22	33	7	26	40																		
22	27	33	7	30	9	29	32	10	26	39														
17	25	27	8	37	7	13	34	19	6	33	39													
4	27	13	33	14	37	38	13	6																
12	4	6	37	28	33	11	27	34	21	19														
34	35	30	13	25	32	29																		
23	26	41	10	1	37	29	7	30																
2	19	33	8	6	11	7	25	37	27															
18	20	21	3	36	27	13	34	28	5	1														
7	36	27	3	34	32	8	24	23	26		1	20												
10	26	29	24	39	35	30	9	38	37	16	22													
24	26	39	10	41	13	1	35	30	7	9	32													
14	16	22	38	27	4	26	10	25	1	37														
26	41	24	23	10	33	17	9	14	36	7														
30	10	39	24	27	36	22	12	25	37	35														
13	38	4	1	16	17	8	18	3	19	33	9	22	26											
35	10	39	24	27	36	22	37	25	12	13														
38	9	27	36	37	19	26	22	10	13	33	28	5	4	2	8	6	39	14						
37	25	17	6	15	23	8	10	12	27	3	5	20	11	14	2	36								
33	11	14	22	2	19	38	25	8	27	4	1	36	3	26	10	41	30	6	9	16	7	37	12	39
5	39	2	4	19	11	6	9	38	27	14	3	20	1	18	37	29	32	34						
19	2	25	37	33	15	38	17	39	27	36	26													
31
